source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
arxiv,Transistor architecture,GAA,GAA / nanosheet,45,17,12,0.08701364640507026,0.060287313766174765,1.4086006014916204,0.02672633263889549,0.005974288925771272,2025.0,2025,2023-2025,2020-2022
arxiv,Advanced packaging,FanOut,Fan-out packaging (FOWLP / InFO / FOPLP),17,5,3,0.024875256262169878,0.01639077349632619,1.3943906505110395,0.008484482765843689,0.00019165812967151353,2025.0,2019,2023-2025,2020-2022
arxiv,Materials & power devices,Cryo,Cryogenic CMOS / quantum control,86,33,23,0.1641766913303212,0.11780868450484448,1.3771878680069174,0.04636800682547672,0.016516389400679118,2018.0,2025,2023-2025,2020-2022
arxiv,Materials & power devices,Ga2O3,Ga2O3 / ultra-wide bandgap,453,178,130,0.8855591229332477,0.6658751732882514,1.3273991607970277,0.21968394964499627,0.06957189920566424,2014.0,2025,2023-2025,2020-2022
arxiv,Lithography & patterning,CompLitho,Computational lithography (OPC/ILT/SMO),44,17,12,0.08442661975380458,0.06310447796085583,1.3125195078757335,0.02132214179294875,0.00774018880192198,2020.0,2024,2023-2025,2020-2022
arxiv,Memory,RRAM,RRAM / memristor,1429,522,391,2.599066275296558,2.0033110694212923,1.2966268482251946,0.5957552058752658,0.10859158472606147,2014.0,2024,2023-2025,2020-2022
arxiv,Materials & power devices,SiQubit,Silicon spin qubit,170,57,43,0.2835779213887366,0.22025101885688317,1.2809869169651948,0.06332690253185344,0.019514011462220603,2016.0,2018,2023-2025,2020-2022
arxiv,Lithography & patterning,DSA,Directed self-assembly,20,4,3,0.019900205009735904,0.015366350152805804,1.2212881464292733,0.0045338548569301,-0.0035567416824633267,2017.0,2018,2023-2025,2020-2022
arxiv,Transistor architecture,FinFET,FinFET,156,59,48,0.29352802389360455,0.24586160244489286,1.1899183803944309,0.04766642144871169,0.024638054218657605,2016.0,2025,2023-2025,2020-2022
arxiv,Transistor architecture,FeFET,Ferroelectric / negative-capacitance FET,309,119,106,0.5920310990396431,0.542944372065805,1.089563452570874,0.04908672697383809,0.05514728908562042,2014.0,2022,2023-2025,2020-2022
arxiv,Advanced packaging,GlassSubstrate,Glass core / glass substrate,5,1,1,0.004975051252433976,0.005122116717601934,0.9856440732146367,-0.00014706546516795801,0.0003227149831345064,,2019,2023-2025,2020-2022
arxiv,Interconnect & BEOL,RuMo,Ru / Mo interconnect (post-Cu),11,2,2,0.009950102504867952,0.010244233435203868,0.9808587642861822,-0.00029413093033591603,-0.0001447104109472067,,2016,2023-2025,2020-2022
arxiv,Materials & power devices,GaN,GaN power / RF,865,282,279,1.4011236842229806,1.43009498755446,0.9798139924299651,-0.028971303331479348,0.0761632750379241,2014.0,2023,2023-2025,2020-2022
arxiv,Materials & power devices,CNT,Carbon nanotube transistor,51,12,12,0.05970061502920771,0.061465400611223214,0.9734967505500984,-0.0017647855820155031,-0.013517749264739814,2014.0,2014,2023-2025,2020-2022
arxiv,Interconnect & BEOL,HKMG,High-k / metal gate,67,19,20,0.09527223148411063,0.10244233435203869,0.9333413335295514,-0.00717010286792806,-0.004828423529205082,2014.0,2015,2023-2025,2020-2022
arxiv,Memory,MRAM,MRAM / spintronic memory,284,86,91,0.4278544077093219,0.4642174381162633,0.922522979296273,-0.03636303040694139,0.01494806185849056,2014.0,2021,2023-2025,2020-2022
arxiv,Memory,FeRAM,FeRAM / ferroelectric memory,99,32,34,0.15920164007788723,0.17415196839846578,0.916606305306764,-0.014950328320578549,0.007556182941633459,2015.0,2022,2023-2025,2020-2022
arxiv,Lithography & patterning,NIL,Nanoimprint lithography,56,15,16,0.07462576878650964,0.08323439666103143,0.9025694026921218,-0.008608627874521782,-0.008024869276981095,2014.0,2014,2023-2025,2020-2022
arxiv,Memory,PCM,Phase-change memory,230,58,79,0.2885529726411706,0.4046472206905528,0.716683906161223,-0.11609424804938223,0.00658538155686288,2014.0,2019,2023-2025,2020-2022
arxiv,Transistor architecture,2D-channel,2D-material channel (MoS2 / TMD),867,174,247,0.8635693963974895,1.263165203727813,0.6849327428504232,-0.3995958073303234,-0.15068925541949535,2014.0,2014,2023-2025,2020-2022
arxiv,Transistor architecture,TFET,Tunnel FET,100,12,20,0.05970061502920771,0.10244233435203869,0.6026408455786324,-0.042741719322830975,-0.045726904737220325,2014.0,2015,2023-2025,2020-2022
