source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
ieee,Materials & power devices,SiC,SiC power,7703,2910,2033,4.203959304758737,3.8619726192002615,1.0885088042604383,0.3419866855584752,0.10259349484636608,2014.0,2025,2023-2025,2020-2022
ieee,Lithography & patterning,CompLitho,Computational lithography (OPC/ILT/SMO),238,110,78,0.1595284343866661,0.14733060681999288,1.081738478689471,0.01219782756667323,0.015256162389477954,2018.0,2025,2023-2025,2020-2022
ieee,Materials & power devices,SiQubit,Silicon spin qubit,47,20,14,0.02889746116957995,0.026590543966480598,1.0809732484452708,0.002306917203099352,0.002776737374164196,2019.0,2022,2023-2025,2020-2022
ieee,Transistor architecture,2D-channel,2D-material channel (MoS2 / TMD),947,332,236,0.47958226557034883,0.4487534159257408,1.0684093246848134,0.030828849644608025,0.008673273515913243,2014.0,2018,2023-2025,2020-2022
ieee,Transistor architecture,Node,"Advanced node (7/5/3/2 nm, A16/A14)",719,291,221,0.42089152193493196,0.42049146633851,1.0009471219662778,0.00040005559642197763,0.03461669345560596,2014.0,2020,2023-2025,2020-2022
ieee,Transistor architecture,FeFET,Ferroelectric / negative-capacitance FET,2357,979,748,1.4145307242509386,1.4206947776376777,0.9956670329385048,-0.006164053386739088,0.1367570484671588,2014.0,2022,2023-2025,2020-2022
ieee,Memory,DRAM,DRAM (incl. 3D / vertical channel),3738,1334,1031,1.9274606600109827,1.9582036306743926,0.984315634757261,-0.03074297066340992,0.051685095519818675,2014.0,2025,2023-2025,2020-2022
ieee,Memory,3DNAND,3D NAND,1789,548,434,0.7917904360464906,0.8243068629608986,0.9606436899103591,-0.032516426914408036,-0.050213418756535205,2014.0,2016,2023-2025,2020-2022
ieee,Memory,MRAM,MRAM / spintronic memory,1662,556,447,0.8033494205143226,0.8484092917419442,0.947007627156465,-0.04505987122762167,-0.011149212537191356,2014.0,2017,2023-2025,2020-2022
ieee,Memory,RRAM,RRAM / memristor,7017,2349,1890,3.393472211335528,3.588773773190364,0.945608648702466,-0.19530156185483616,-0.05673422601003834,2014.0,2014,2023-2025,2020-2022
ieee,Advanced packaging,FanOut,Fan-out packaging (FOWLP / InFO / FOPLP),1660,610,512,0.8814737067862819,0.9730619632076674,0.9060595968582066,-0.09158825642138546,0.04820433523903774,2014.0,2022,2023-2025,2020-2022
ieee,Transistor architecture,FinFET,FinFET,4889,1354,1224,1.9563581211805625,2.3247732724980184,0.8416557826907529,-0.36841515131745584,-0.19676294828606142,2014.0,2015,2023-2025,2020-2022
ieee,Interconnect & BEOL,HKMG,High-k / metal gate,831,247,229,0.35736045355361046,0.43494532630886124,0.8223971093629417,-0.07758487275525078,-0.01089340859767881,2014.0,2015,2023-2025,2020-2022
