source,concept,synonym,year,docs
all,3DNAND,charge trap flash,2014,4
all,3DNAND,V-NAND,2014,2
all,3DNAND,NAND flash,2015,211
all,3DNAND,3D NAND,2015,13
all,3DNAND,3-D NAND,2015,3
all,3DNAND,V-NAND,2015,2
all,3DNAND,vertical NAND,2015,1
all,3DNAND,charge trap flash,2015,1
all,3DNAND,NAND flash,2016,196
all,3DNAND,3D NAND,2016,25
all,3DNAND,3-D NAND,2016,4
all,3DNAND,V-NAND,2016,2
all,3DNAND,vertical NAND,2016,2
all,3DNAND,charge trap flash,2016,1
all,3DNAND,NAND flash,2017,151
all,3DNAND,3D NAND,2017,28
all,3DNAND,vertical NAND,2017,11
all,3DNAND,3-D NAND,2017,9
all,3DNAND,V-NAND,2017,2
all,3DNAND,NAND flash,2018,171
all,3DNAND,3D NAND,2018,54
all,3DNAND,3-D NAND,2018,15
all,3DNAND,charge trap flash,2018,6
all,3DNAND,vertical NAND,2018,1
all,3DNAND,NAND flash,2019,196
all,3DNAND,3D NAND,2019,84
all,3DNAND,3-D NAND,2019,24
all,3DNAND,V-NAND,2019,7
all,3DNAND,charge trap flash,2019,7
all,3DNAND,vertical NAND,2019,6
all,3DNAND,NAND flash,2020,166
all,3DNAND,3D NAND,2020,83
all,3DNAND,3-D NAND,2020,30
all,3DNAND,charge trap flash,2020,7
all,3DNAND,vertical NAND,2020,5
all,3DNAND,V-NAND,2020,3
all,3DNAND,NAND flash,2021,153
all,3DNAND,3D NAND,2021,90
all,3DNAND,3-D NAND,2021,27
all,3DNAND,V-NAND,2021,7
all,3DNAND,vertical NAND,2021,4
all,3DNAND,charge trap flash,2021,3
all,3DNAND,NAND flash,2022,153
all,3DNAND,3D NAND,2022,110
all,3DNAND,3-D NAND,2022,23
all,3DNAND,V-NAND,2022,10
all,3DNAND,vertical NAND,2022,10
all,3DNAND,charge trap flash,2022,4
all,3DNAND,NAND flash,2023,148
all,3DNAND,3D NAND,2023,121
all,3DNAND,3-D NAND,2023,31
all,3DNAND,vertical NAND,2023,20
all,3DNAND,V-NAND,2023,16
all,3DNAND,charge trap flash,2023,10
all,3DNAND,NAND flash,2024,158
all,3DNAND,3D NAND,2024,142
all,3DNAND,3-D NAND,2024,28
all,3DNAND,V-NAND,2024,20
all,3DNAND,charge trap flash,2024,17
all,3DNAND,vertical NAND,2024,14
all,3DNAND,NAND flash,2025,212
all,3DNAND,3D NAND,2025,146
all,3DNAND,vertical NAND,2025,32
all,3DNAND,V-NAND,2025,25
all,3DNAND,3-D NAND,2025,24
all,3DNAND,charge trap flash,2025,18
all,3DNAND,NAND flash,2026,138
all,3DNAND,3D NAND,2026,108
all,3DNAND,3-D NAND,2026,24
all,3DNAND,vertical NAND,2026,22
all,3DNAND,V-NAND,2026,19
all,3DNAND,charge trap flash,2026,10
all,AIAccel,systolic array,2014,5
all,AIAccel,NPU,2014,2
all,AIAccel,TPU,2014,1
all,AIAccel,neural processing unit,2014,1
all,AIAccel,systolic array,2015,3
all,AIAccel,neural network accelerator,2015,1
all,AIAccel,systolic array,2016,5
all,AIAccel,TPU,2016,3
all,AIAccel,neural network accelerator,2016,2
all,AIAccel,tensor processing unit,2016,1
all,AIAccel,systolic array,2017,7
all,AIAccel,neural network accelerator,2017,4
all,AIAccel,TPU,2017,3
all,AIAccel,NPU,2017,1
all,AIAccel,tensor processing unit,2017,1
all,AIAccel,inference accelerator,2017,1
all,AIAccel,DNN accelerator,2017,1
all,AIAccel,neural network accelerator,2018,24
all,AIAccel,deep learning accelerator,2018,10
all,AIAccel,inference accelerator,2018,9
all,AIAccel,systolic array,2018,9
all,AIAccel,TPU,2018,8
all,AIAccel,DNN accelerator,2018,7
all,AIAccel,AI chip,2018,3
all,AIAccel,NPU,2018,2
all,AIAccel,AI accelerator,2018,1
all,AIAccel,neural network accelerator,2019,49
all,AIAccel,TPU,2019,31
all,AIAccel,DNN accelerator,2019,21
all,AIAccel,systolic array,2019,18
all,AIAccel,deep learning accelerator,2019,17
all,AIAccel,inference accelerator,2019,13
all,AIAccel,neural processing unit,2019,7
all,AIAccel,AI accelerator,2019,7
all,AIAccel,AI chip,2019,6
all,AIAccel,NPU,2019,5
all,AIAccel,tensor processing unit,2019,4
all,AIAccel,AI ASIC,2019,1
all,AIAccel,neural network accelerator,2020,50
all,AIAccel,systolic array,2020,31
all,AIAccel,TPU,2020,30
all,AIAccel,DNN accelerator,2020,28
all,AIAccel,deep learning accelerator,2020,20
all,AIAccel,inference accelerator,2020,19
all,AIAccel,AI chip,2020,12
all,AIAccel,NPU,2020,11
all,AIAccel,AI accelerator,2020,8
all,AIAccel,neural processing unit,2020,7
all,AIAccel,tensor processing unit,2020,3
all,AIAccel,AI ASIC,2020,1
all,AIAccel,neural network accelerator,2021,61
all,AIAccel,DNN accelerator,2021,44
all,AIAccel,TPU,2021,41
all,AIAccel,systolic array,2021,26
all,AIAccel,deep learning accelerator,2021,26
all,AIAccel,AI accelerator,2021,25
all,AIAccel,inference accelerator,2021,19
all,AIAccel,AI chip,2021,12
all,AIAccel,NPU,2021,10
all,AIAccel,tensor processing unit,2021,8
all,AIAccel,neural processing unit,2021,8
all,AIAccel,AI ASIC,2021,1
all,AIAccel,neural network accelerator,2022,55
all,AIAccel,DNN accelerator,2022,44
all,AIAccel,TPU,2022,42
all,AIAccel,systolic array,2022,32
all,AIAccel,AI accelerator,2022,20
all,AIAccel,NPU,2022,18
all,AIAccel,deep learning accelerator,2022,16
all,AIAccel,tensor processing unit,2022,16
all,AIAccel,inference accelerator,2022,14
all,AIAccel,neural processing unit,2022,8
all,AIAccel,AI chip,2022,6
all,AIAccel,AI ASIC,2022,1
all,AIAccel,neural network accelerator,2023,52
all,AIAccel,AI accelerator,2023,47
all,AIAccel,TPU,2023,45
all,AIAccel,DNN accelerator,2023,45
all,AIAccel,systolic array,2023,39
all,AIAccel,inference accelerator,2023,24
all,AIAccel,NPU,2023,15
all,AIAccel,deep learning accelerator,2023,15
all,AIAccel,neural processing unit,2023,14
all,AIAccel,AI chip,2023,11
all,AIAccel,tensor processing unit,2023,10
all,AIAccel,transformer accelerator,2023,3
all,AIAccel,neural network accelerator,2024,78
all,AIAccel,AI accelerator,2024,75
all,AIAccel,TPU,2024,62
all,AIAccel,DNN accelerator,2024,39
all,AIAccel,systolic array,2024,39
all,AIAccel,AI chip,2024,31
all,AIAccel,NPU,2024,30
all,AIAccel,deep learning accelerator,2024,27
all,AIAccel,neural processing unit,2024,21
all,AIAccel,inference accelerator,2024,16
all,AIAccel,tensor processing unit,2024,12
all,AIAccel,transformer accelerator,2024,7
all,AIAccel,LLM accelerator,2024,2
all,AIAccel,AI ASIC,2024,1
all,AIAccel,AI accelerator,2025,145
all,AIAccel,NPU,2025,68
all,AIAccel,TPU,2025,60
all,AIAccel,systolic array,2025,59
all,AIAccel,neural network accelerator,2025,51
all,AIAccel,neural processing unit,2025,46
all,AIAccel,AI chip,2025,42
all,AIAccel,DNN accelerator,2025,25
